product_id,product_name,category,sub_category,brand,material,size,finish,color,unit,cost_price,selling_price,stock_quantity,is_active
P1027,Bell Ceramics White Counter Top Basin 24x18 in,Wash Basins,Counter Top Basin,Bell Ceramics,Marble Composite,24x18 in,Matte,White,Piece,5192.95,9174.46,115,Yes
P1055,Somany Sand Garden Pavers 400x400 mm,Outdoor & Paver Tiles,Garden Pavers,Somany,Concrete,400x400 mm,Honed,Sand,Box,34.43,55.79,477,Yes
P1018,Asian Granito Brown Onyx Marble 10x5 ft,Marble Slabs,Onyx Marble,Asian Granito,Natural Marble,10x5 ft,Textured,Brown,Piece,231.52,389.15,193,Yes
P1012,Varmora Cream Matte Wall Tiles 250x375 mm,Wall Tiles,Matte Wall Tiles,Varmora,Porcelain,250x375 mm,Glossy,Cream,Box,38.74,51.71,290,Yes
P1063,Somany White Pool Deck Tiles 300x300 mm,Outdoor & Paver Tiles,Pool Deck Tiles,Somany,Ceramic,300x300 mm,Honed,White,Box,83.59,112.97,122,Yes
P1019,Hindware White Colonial Gold Granite 8x4 ft,Granite Slabs,Colonial Gold Granite,Hindware,Natural Granite,8x4 ft,Honed,White,Piece,193.35,264.47,460,Yes
P1004,Simpolo Charcoal Porcelain Tiles 600x600 mm,Floor Tiles,Porcelain Tiles,Simpolo,Vitrified,600x600 mm,Glossy,Charcoal,Box,105.9,157.89,433,Yes
P1047,Bell Ceramics Sand Shower Mixer Standard,Bathroom Fittings,Shower Mixer,Bell Ceramics,Stainless Steel,Standard,Glossy,Sand,Piece,1390.14,2185.83,316,Yes
P1022,Kajaria Charcoal Black Granite 7x3.5 ft,Granite Slabs,Black Granite,Kajaria,Natural Granite,7x3.5 ft,Polished,Charcoal,Piece,314.69,550.3,118,Yes
P1028,Nitco Beige Semi-Recessed Basin 16x11 in,Wash Basins,Semi-Recessed Basin,Nitco,Marble Composite,16x11 in,Polished,Beige,Piece,5985.54,9015.25,316,Yes
P1062,Orientbell Sand Pool Deck Tiles 400x400 mm,Outdoor & Paver Tiles,Pool Deck Tiles,Orientbell,Concrete,400x400 mm,Polished,Sand,Box,78.47,121.84,403,Yes
P1041,Orientbell Ivory Two-Piece Toilet Compact,Sanitaryware,Two-Piece Toilet,Orientbell,Vitreous China,Compact,Matte,Ivory,Piece,2317.89,3937.79,188,Yes
P1023,Johnson Brown Tan Brown Granite 8x4 ft,Granite Slabs,Tan Brown Granite,Johnson,Natural Granite,8x4 ft,Satin,Brown,Piece,201.96,274.9,246,Yes
P1042,Cera Cream One-Piece Toilet Compact,Sanitaryware,One-Piece Toilet,Cera,Vitreous China,Compact,Textured,Cream,Piece,11550.81,16071.09,189,Yes
P1061,Johnson Grey Parking Tiles 600x600 mm,Outdoor & Paver Tiles,Parking Tiles,Johnson,Concrete,600x600 mm,Polished,Grey,Box,22.24,35.53,128,No
P1005,Simpolo Black Rustic Tiles 1000x1000 mm,Floor Tiles,Rustic Tiles,Simpolo,Vitrified,1000x1000 mm,Glossy,Black,Box,52.38,77.51,473,Yes
P1013,Somany Cream Italian Marble 7x3.5 ft,Marble Slabs,Italian Marble,Somany,Natural Marble,7x3.5 ft,Satin,Cream,Piece,237.81,431.88,389,Yes
P1026,Nitco Blue-Grey Wall Hung Basin 20x14 in,Wash Basins,Wall Hung Basin,Nitco,Ceramic,20x14 in,Glossy,Blue-Grey,Piece,4107.72,7306.62,180,Yes
P1025,Kajaria Sand Black Granite 8x4 ft,Granite Slabs,Black Granite,Kajaria,Natural Granite,8x4 ft,Polished,Sand,Piece,433.59,613.26,166,No
P1056,Simpolo Grey Garden Pavers 300x300 mm,Outdoor & Paver Tiles,Garden Pavers,Simpolo,Vitrified,300x300 mm,Honed,Grey,Box,60.62,107.71,228,Yes
P1058,RAK Ceramics Cream Cool Roof Tiles 400x400 mm,Outdoor & Paver Tiles,Cool Roof Tiles,RAK Ceramics,Vitrified,400x400 mm,Satin,Cream,Box,91.76,123.88,234,Yes
P1002,Nitco Black Vitrified Tiles 600x600 mm,Floor Tiles,Vitrified Tiles,Nitco,Vitrified,600x600 mm,Matte,Black,Box,80.99,122.29,386,No
P1038,Cera Charcoal Wall-Mounted Toilet Standard,Sanitaryware,Wall-Mounted Toilet,Cera,Vitreous China,Standard,Glossy,Charcoal,Piece,13033.57,17932.15,228,Yes
P1007,Cera Grey Kitchen Wall Tiles 300x600 mm,Wall Tiles,Kitchen Wall Tiles,Cera,Porcelain,300x600 mm,Satin,Grey,Box,30.13,50.91,156,Yes
P1020,Orientbell Brown Black Granite 7x3.5 ft,Granite Slabs,Black Granite,Orientbell,Natural Granite,7x3.5 ft,Honed,Brown,Piece,148.22,257.12,498,No
P1049,Cera Charcoal Border Strip Tiles 100x300 mm,Mosaic & Border Tiles,Border Strip Tiles,Cera,Ceramic,100x300 mm,Textured,Charcoal,Box,62.4,84.28,140,Yes
P1057,Nitco Cream Cool Roof Tiles 400x400 mm,Outdoor & Paver Tiles,Cool Roof Tiles,Nitco,Vitrified,400x400 mm,Polished,Cream,Box,86.37,129.53,376,Yes
P1046,RAK Ceramics Sand Bath Tub Spout Standard,Bathroom Fittings,Bath Tub Spout,RAK Ceramics,Stainless Steel,Standard,Polished,Sand,Piece,2238.27,3804.2,360,No
P1048,Cera Black Overhead Shower Standard,Bathroom Fittings,Overhead Shower,Cera,Stainless Steel,Standard,Matte,Black,Piece,2419.11,3312.78,427,Yes
P1039,Simpolo Grey Two-Piece Toilet Standard,Sanitaryware,Two-Piece Toilet,Simpolo,Vitreous China,Standard,Glossy,Grey,Piece,10557.37,17126.44,496,No
P1011,RAK Ceramics Grey Bathroom Wall Tiles 200x300 mm,Wall Tiles,Bathroom Wall Tiles,RAK Ceramics,Porcelain,200x300 mm,Matte,Grey,Box,34.47,60.67,44,Yes
P1024,Somany Grey Black Granite 7x3.5 ft,Granite Slabs,Black Granite,Somany,Natural Granite,7x3.5 ft,Matte,Grey,Piece,228.27,353.21,462,No
P1050,Kajaria Ivory Stone Mosaic 300x300 mm,Mosaic & Border Tiles,Stone Mosaic,Kajaria,Glass,300x300 mm,Glossy,Ivory,Box,212.31,315.82,413,Yes
P1017,Orientbell Blue-Grey Indian Marble 10x5 ft,Marble Slabs,Indian Marble,Orientbell,Natural Marble,10x5 ft,Textured,Blue-Grey,Piece,436.34,736.61,296,Yes
P1045,Cera Blue-Grey Health Faucet Standard,Bathroom Fittings,Health Faucet,Cera,Brass Chrome-Plated,Standard,Satin,Blue-Grey,Piece,1690.48,2349.19,388,Yes
P1030,Johnson Sand Wall Hung Basin 22x16 in,Wash Basins,Wall Hung Basin,Johnson,Ceramic,22x16 in,Honed,Sand,Piece,3675.31,4994.96,499,Yes
P1014,Cera Black Black Marble 9x5 ft,Marble Slabs,Black Marble,Cera,Natural Marble,9x5 ft,Satin,Black,Piece,551.73,950.32,410,Yes
P1037,Varmora Grey Bidet Standard,Sanitaryware,Bidet,Varmora,Vitreous China,Standard,Textured,Grey,Piece,6393.87,11451.05,206,Yes
P1008,Johnson Cream Bathroom Wall Tiles 250x375 mm,Wall Tiles,Bathroom Wall Tiles,Johnson,Ceramic,250x375 mm,Polished,Cream,Box,32.27,43.9,372,Yes
P1043,Kajaria Blue-Grey Health Faucet Standard,Bathroom Fittings,Health Faucet,Kajaria,Stainless Steel,Standard,Glossy,Blue-Grey,Piece,2142.16,3079.11,180,No
P1031,Varmora Beige Counter Top Basin 24x18 in,Wash Basins,Counter Top Basin,Varmora,Marble Composite,24x18 in,Glossy,Beige,Piece,3687.2,5662.37,87,Yes
P1009,Kajaria Cream Digital Wall Tiles 300x450 mm,Wall Tiles,Digital Wall Tiles,Kajaria,Ceramic,300x450 mm,Satin,Cream,Box,25.9,43.74,310,Yes
P1016,Varmora Beige Indian Marble 8x4 ft,Marble Slabs,Indian Marble,Varmora,Natural Marble,8x4 ft,Glossy,Beige,Piece,778.6,1091.69,409,Yes
P1010,Cera Grey Matte Wall Tiles 200x300 mm,Wall Tiles,Matte Wall Tiles,Cera,Porcelain,200x300 mm,Polished,Grey,Box,26.09,43.54,307,Yes
P1040,Jaquar Beige Two-Piece Toilet Compact,Sanitaryware,Two-Piece Toilet,Jaquar,Vitreous China,Compact,Honed,Beige,Piece,5899.28,10577.02,260,Yes
